Date;TS;PRECTOTCORR;WS10M
20/07/2016;26,51;22,55;4,5
21/07/2016;26,27;13,12;2,66
22/07/2016;26,81;4,33;2,37
23/07/2016;27;4;2,2
24/07/2016;26,68;15,98;3,42
25/07/2016;26,73;4,55;1,59
26/07/2016;26,95;0,82;1,22
27/07/2016;27,19;0,16;1,36
28/07/2016;26,98;1,8;1,84
29/07/2016;27,03;1,79;1,95
30/07/2016;27,26;2,1;1,7
31/07/2016;26,79;13,37;3,17
01/08/2016;26,69;28,87;3,29
02/08/2016;27,12;0,86;1,62
03/08/2016;26,82;5,88;2,37
04/08/2016;26,57;2,56;2,37
05/08/2016;27,06;0,06;1,35
06/08/2016;27,02;0,47;1,83
07/08/2016;27,15;0,37;1,59
08/08/2016;27,11;0,46;1,55
09/08/2016;27,08;1,41;1,91
10/08/2016;26,89;5,91;3,49
11/08/2016;26,74;10;3,95
12/08/2016;26,55;10,78;3,92
13/08/2016;26,71;10,93;3,49
14/08/2016;26,71;4,85;3,06
15/08/2016;27,12;1,49;2,15
16/08/2016;27,12;1,83;2,39
17/08/2016;26,94;3,91;3,28
18/08/2016;26,98;5,39;3,21
19/08/2016;26,71;8,8;2,72
20/08/2016;26,82;8,07;3,07
21/08/2016;26,44;7,6;2,72
22/08/2016;26,98;1,18;1,94
23/08/2016;27,03;13,13;3,15
24/08/2016;26,51;124,93;4,37
25/08/2016;26,4;22,69;3,85
26/08/2016;26,5;3,38;3,67
27/08/2016;26,34;0,07;2,14
28/08/2016;26,98;0,11;2,09
29/08/2016;26,58;5,68;2,3
30/08/2016;26,64;8,36;1,64
31/08/2016;26,49;0,99;1,4
01/09/2016;26,71;8,02;1,31
02/09/2016;26,76;9,14;2,24
03/09/2016;26,93;11,89;3,26
04/09/2016;26,87;8,78;3,2
05/09/2016;26,46;23,13;4,02
06/09/2016;26,51;16,69;2,67
07/09/2016;26,58;19,21;3,61
08/09/2016;26,3;7,02;3,5
09/09/2016;27,01;1,51;1,95
10/09/2016;27,15;1,91;1,94
11/09/2016;27,08;6,12;1,88
12/09/2016;26,51;4,28;1,39
13/09/2016;26,72;1,7;1,29
14/09/2016;26,6;4,16;1,11
15/09/2016;26,5;6,42;1,39
16/09/2016;26,53;7,57;1,98
17/09/2016;26,65;10;2,84
18/09/2016;26,42;13,45;1,88
19/09/2016;26,48;7,82;3,09
20/09/2016;26,01;23,79;4,26
01/01/2020;27,64;1,92;1,5
02/01/2020;27,86;0,32;1,33
03/01/2020;27,85;1,87;0,97
04/01/2020;27,93;2,68;1,19
05/01/2020;27,81;8,82;1,53
06/01/2020;28,08;2,4;1,67
07/01/2020;28,06;2,06;1,51
08/01/2020;28,16;1,73;2,11
09/01/2020;27,6;51,42;2,58
10/01/2020;26,87;15,06;3
11/01/2020;27,11;6,76;2,36
12/01/2020;27,39;0,42;1,75
13/01/2020;27,73;2,99;1,8
14/01/2020;27,59;7,69;1,59
15/01/2020;27,75;5,61;1,52
16/01/2020;27,64;13,25;1,29
17/01/2020;27,4;13,57;1,82
18/01/2020;27,43;29,98;1,62
19/01/2020;27,65;13,29;2,3
20/01/2020;27,36;42,51;2,59
21/01/2020;27,86;2,43;1,09
22/01/2020;27,81;3,41;1,3
23/01/2020;28,03;4,34;1,31
24/01/2020;28,27;1,87;1,98
25/01/2020;27,87;16,12;3,05
26/01/2020;27,93;13,96;2,27
27/01/2020;27,64;11,05;2,13
28/01/2020;27,84;35,19;2,52
29/01/2020;27,26;47,45;2,74
30/01/2020;27,42;0,84;1,58
31/01/2020;27,92;3,27;1,33
01/02/2020;27,83;14,68;1,04
02/02/2020;28,01;16,43;2,05
03/02/2020;27,94;32,74;1,91
04/02/2020;27,94;0,44;1,87
05/02/2020;27,46;5,67;1,53
06/02/2020;27,62;10,49;2,98
07/02/2020;27,25;71,14;3,7
08/02/2020;26,73;44,87;3,28
09/02/2020;27,29;2,55;1,08
10/02/2020;27,58;4,8;1,68
11/02/2020;27,86;4,54;1,93
12/02/2020;28,03;13,06;1,71
13/02/2020;27,41;22,53;2,94
14/02/2020;27,12;24,05;3,05
15/02/2020;27,3;18,69;3,78
16/02/2020;27,14;2;2,23
17/02/2020;27,5;18,08;1,57
18/02/2020;27,54;8,21;1,41
19/02/2020;27,74;4,67;1,17
20/02/2020;28,12;1,17;1,34
21/02/2020;28,19;0,63;1,36
22/02/2020;28,12;0,21;2,16
23/02/2020;28,03;0,09;2,13
24/02/2020;28,18;0,3;1,98
25/02/2020;28,68;0,61;1,42
26/02/2020;28,58;1,88;1,91
27/02/2020;28,55;1,46;1,16
28/02/2020;28,65;2,58;1,56
29/02/2020;28,01;21,33;1,3
01/03/2020;28,4;5,89;1,44
02/03/2020;27,98;14,49;2,6
03/03/2020;27,58;85,73;2,44
04/03/2020;27,37;25,23;4,09
05/03/2020;27,54;2,66;1,8
06/03/2020;27,63;1,97;1,67
07/03/2020;28,11;1,26;1,28
08/03/2020;27,9;15,6;2,61
09/03/2020;27,96;0,67;1,81
10/03/2020;27,98;0,25;1,95
11/03/2020;28,22;0,16;2,98
12/03/2020;28,39;1,96;3,12
13/03/2020;28,46;2,87;2,43
14/03/2020;28,71;2,28;1,3
15/03/2020;28,76;1,56;1,52
16/03/2020;28,33;9,79;1,59
17/03/2020;28,3;17,4;1,75
18/03/2020;28,03;12,06;2,45
19/03/2020;27,4;20,48;3,31
20/03/2020;27,82;8,62;1,89
21/03/2020;27,85;7,86;2,23
22/03/2020;27,72;35,46;2,14
23/03/2020;27,92;2,2;1,77
24/03/2020;27,59;8,73;2,2
25/03/2020;27,8;13,8;2,23
26/03/2020;27,64;61,45;3,57
27/03/2020;27,59;2,54;1,28
28/03/2020;27,86;7,24;1,34
