CombinedDate,TS,PRECTOTCORR,WS10M
1/1/2020,27.64,1.92,1.5
2/1/2020,27.86,0.32,1.33
3/1/2020,27.85,1.87,0.97
4/1/2020,27.93,2.68,1.19
5/1/2020,27.81,8.82,1.53
6/1/2020,28.08,2.4,1.67
7/1/2020,28.06,2.06,1.51
8/1/2020,28.16,1.73,2.11
9/1/2020,27.6,51.42,2.58
10/1/2020,26.87,15.06,3
11/1/2020,27.11,6.76,2.36
12/1/2020,27.39,0.42,1.75
13/01/2020,27.73,2.99,1.8
14/01/2020,27.59,7.69,1.59
15/01/2020,27.75,5.61,1.52
16/01/2020,27.64,13.25,1.29
17/01/2020,27.4,13.57,1.82
18/01/2020,27.43,29.98,1.62
19/01/2020,27.65,13.29,2.3
20/01/2020,27.36,42.51,2.59
21/01/2020,27.86,2.43,1.09
22/01/2020,27.81,3.41,1.3
23/01/2020,28.03,4.34,1.31
24/01/2020,28.27,1.87,1.98
25/01/2020,27.87,16.12,3.05
26/01/2020,27.93,13.96,2.27
27/01/2020,27.64,11.05,2.13
28/01/2020,27.84,35.19,2.52
29/01/2020,27.26,47.45,2.74
30/01/2020,27.42,0.84,1.58
31/01/2020,27.92,3.27,1.33
1/2/2020,27.83,14.68,1.04
2/2/2020,28.01,16.43,2.05
3/2/2020,27.94,32.74,1.91
4/2/2020,27.94,0.44,1.87
5/2/2020,27.46,5.67,1.53
6/2/2020,27.62,10.49,2.98
7/2/2020,27.25,71.14,3.7
8/2/2020,26.73,44.87,3.28
9/2/2020,27.29,2.55,1.08
10/2/2020,27.58,4.8,1.68
11/2/2020,27.86,4.54,1.93
12/2/2020,28.03,13.06,1.71
13/02/2020,27.41,22.53,2.94
14/02/2020,27.12,24.05,3.05
15/02/2020,27.3,18.69,3.78
16/02/2020,27.14,2,2.23
17/02/2020,27.5,18.08,1.57
18/02/2020,27.54,8.21,1.41
19/02/2020,27.74,4.67,1.17
20/02/2020,28.12,1.17,1.34
21/02/2020,28.19,0.63,1.36
22/02/2020,28.12,0.21,2.16
23/02/2020,28.03,0.09,2.13
24/02/2020,28.18,0.3,1.98
25/02/2020,28.68,0.61,1.42
26/02/2020,28.58,1.88,1.91
27/02/2020,28.55,1.46,1.16
28/02/2020,28.65,2.58,1.56
29/02/2020,28.01,21.33,1.3
1/3/2020,28.4,5.89,1.44
2/3/2020,27.98,14.49,2.6
3/3/2020,27.58,85.73,2.44
4/3/2020,27.37,25.23,4.09
5/3/2020,27.54,2.66,1.8
6/3/2020,27.63,1.97,1.67
7/3/2020,28.11,1.26,1.28
8/3/2020,27.9,15.6,2.61
9/3/2020,27.96,0.67,1.81
10/3/2020,27.98,0.25,1.95
11/3/2020,28.22,0.16,2.98
12/3/2020,28.39,1.96,3.12
13/03/2020,28.46,2.87,2.43
14/03/2020,28.71,2.28,1.3
15/03/2020,28.76,1.56,1.52
16/03/2020,28.33,9.79,1.59
17/03/2020,28.3,17.4,1.75
18/03/2020,28.03,12.06,2.45
19/03/2020,27.4,20.48,3.31
20/03/2020,27.82,8.62,1.89
21/03/2020,27.85,7.86,2.23
22/03/2020,27.72,35.46,2.14
23/03/2020,27.92,2.2,1.77
24/03/2020,27.59,8.73,2.2
25/03/2020,27.8,13.8,2.23
26/03/2020,27.64,61.45,3.57
27/03/2020,27.59,2.54,1.28
28/03/2020,27.86,7.24,1.34
29/03/2020,27.85,24.83,2.38
30/03/2020,27.68,14.96,2.02
31/03/2020,27.64,4.14,1.63
1/4/2020,27.67,4.48,2.13
2/4/2020,27.66,11.16,2.18
3/4/2020,27.65,11.18,1.06
4/4/2020,27.79,10.14,1.59
5/4/2020,27.13,82.23,3.91
6/4/2020,27.08,10.11,1.7
7/4/2020,27.58,3.74,1.77
8/4/2020,27.62,5.94,1.43
9/4/2020,27.56,15.63,2.24
10/4/2020,27.37,28.18,1.51
11/4/2020,28.28,15.01,1.45
12/4/2020,28.06,8.16,1.99
13/04/2020,27.69,7.12,2.34
14/04/2020,27.86,8.86,1.53
15/04/2020,27.48,27.6,2.93
16/04/2020,27.54,11.34,1.92
17/04/2020,27.73,18.69,1.02
18/04/2020,28.01,5.33,1.34
19/04/2020,28.04,9.7,2.14
20/04/2020,28.46,2.06,1
21/04/2020,28.58,2.17,1.36
22/04/2020,28.48,5.89,1.19
23/04/2020,28.05,12.85,1.34
24/04/2020,28.36,15.41,1.59
25/04/2020,28.22,10.94,1.27
26/04/2020,27.9,68.18,1.97
27/04/2020,27.8,6.65,1.69
28/04/2020,27.79,6.17,1.52
29/04/2020,27.64,9.08,2.07
30/04/2020,27.2,20.26,2.6
1/5/2020,27.03,44.41,3.7
2/5/2020,27.31,13.94,3.36
3/5/2020,27.55,3.95,2.84
4/5/2020,27.7,4.97,2.49
5/5/2020,27.4,15.3,2.38
6/5/2020,27.8,6.82,2.21
7/5/2020,27.85,8.11,2.88
8/5/2020,27.58,10.63,3.69
9/5/2020,27.56,11.83,1.18
