TS,PRECTOTCORR,WS10M,Cluster
27.64,1.92,1.5,TIDAK BERPOTENSI UPWELLING
27.86,0.32,1.33,TIDAK BERPOTENSI UPWELLING
27.85,1.87,0.97,TIDAK BERPOTENSI UPWELLING
27.93,2.68,1.19,TIDAK BERPOTENSI UPWELLING
27.81,8.82,1.53,TIDAK BERPOTENSI UPWELLING
28.08,2.4,1.67,TIDAK BERPOTENSI UPWELLING
28.06,2.06,1.51,TIDAK BERPOTENSI UPWELLING
28.16,1.73,2.11,TIDAK BERPOTENSI UPWELLING
27.6,51.42,2.58,BERPOTENSI UPWELLING
26.87,15.06,3.0,TIDAK BERPOTENSI UPWELLING
27.11,6.76,2.36,TIDAK BERPOTENSI UPWELLING
27.39,0.42,1.75,TIDAK BERPOTENSI UPWELLING
27.73,2.99,1.8,TIDAK BERPOTENSI UPWELLING
27.59,7.69,1.59,TIDAK BERPOTENSI UPWELLING
27.75,5.61,1.52,TIDAK BERPOTENSI UPWELLING
27.64,13.25,1.29,TIDAK BERPOTENSI UPWELLING
27.4,13.57,1.82,TIDAK BERPOTENSI UPWELLING
27.43,29.98,1.62,BERPOTENSI UPWELLING
27.65,13.29,2.3,TIDAK BERPOTENSI UPWELLING
27.36,42.51,2.59,BERPOTENSI UPWELLING
27.86,2.43,1.09,TIDAK BERPOTENSI UPWELLING
27.81,3.41,1.3,TIDAK BERPOTENSI UPWELLING
28.03,4.34,1.31,TIDAK BERPOTENSI UPWELLING
28.27,1.87,1.98,TIDAK BERPOTENSI UPWELLING
27.87,16.12,3.05,TIDAK BERPOTENSI UPWELLING
27.93,13.96,2.27,TIDAK BERPOTENSI UPWELLING
27.64,11.05,2.13,TIDAK BERPOTENSI UPWELLING
27.84,35.19,2.52,BERPOTENSI UPWELLING
27.26,47.45,2.74,BERPOTENSI UPWELLING
27.42,0.84,1.58,TIDAK BERPOTENSI UPWELLING
27.92,3.27,1.33,TIDAK BERPOTENSI UPWELLING
27.83,14.68,1.04,TIDAK BERPOTENSI UPWELLING
28.01,16.43,2.05,TIDAK BERPOTENSI UPWELLING
27.94,32.74,1.91,BERPOTENSI UPWELLING
27.94,0.44,1.87,TIDAK BERPOTENSI UPWELLING
27.46,5.67,1.53,TIDAK BERPOTENSI UPWELLING
27.62,10.49,2.98,TIDAK BERPOTENSI UPWELLING
27.25,71.14,3.7,BERPOTENSI UPWELLING
26.73,44.87,3.28,BERPOTENSI UPWELLING
27.29,2.55,1.08,TIDAK BERPOTENSI UPWELLING
27.58,4.8,1.68,TIDAK BERPOTENSI UPWELLING
27.86,4.54,1.93,TIDAK BERPOTENSI UPWELLING
28.03,13.06,1.71,TIDAK BERPOTENSI UPWELLING
27.41,22.53,2.94,TIDAK BERPOTENSI UPWELLING
27.12,24.05,3.05,TIDAK BERPOTENSI UPWELLING
27.3,18.69,3.78,TIDAK BERPOTENSI UPWELLING
27.14,2.0,2.23,TIDAK BERPOTENSI UPWELLING
27.5,18.08,1.57,TIDAK BERPOTENSI UPWELLING
27.54,8.21,1.41,TIDAK BERPOTENSI UPWELLING
27.74,4.67,1.17,TIDAK BERPOTENSI UPWELLING
28.12,1.17,1.34,TIDAK BERPOTENSI UPWELLING
28.19,0.63,1.36,TIDAK BERPOTENSI UPWELLING
